   mixing_time  temperature  stirring_speed  fat_content  ...  consistency  moisture      color  quality_label
0    14.363503    77.042858     1151.592124    25.953047  ...          1.0      40.0  60.506072       schlecht
1     9.545624    31.004271      595.514916    23.366475  ...          1.0      40.0  68.495725       schlecht
2    12.303616    41.981711      792.890979    32.481159  ...          1.0      40.0  59.356385       schlecht
3     6.626290    76.933132     1455.321643    33.293907  ...          1.0      40.0  64.545958       schlecht
4     8.050956    49.710615      244.705077    36.826214  ...          1.0      40.0  56.313895       schlecht
   mixing_time  temperature  stirring_speed  fat_content  ...  consistency  moisture      color  quality_label
0    14.363503    77.042858     1151.592124    25.953047  ...          1.0      40.0  60.506072       schlecht
1     9.545624    31.004271      595.514916    23.366475  ...          1.0      40.0  68.495725       schlecht
2    12.303616    41.981711      792.890979    32.481159  ...          1.0      40.0  59.356385       schlecht
3     6.626290    76.933132     1455.321643    33.293907  ...          1.0      40.0  64.545958       schlecht
4     8.050956    49.710615      244.705077    36.826214  ...          1.0      40.0  56.313895       schlecht
    mixing_time  temperature  ...      color  quality_label
0     14.363503    77.042858  ...  60.506072            gut
1      9.545624    31.004271  ...  68.495725            gut
2     12.303616    41.981711  ...  59.356385            gut
3      6.626290    76.933132  ...  64.545958            gut
4      8.050956    49.710615  ...  56.313895            gut
..          ...          ...  ...        ...            ...
95    29.610055    51.541411  ...  66.098438            gut
96    11.851381    53.250680  ...  66.054970            gut
97     9.384282    74.864717  ...  62.972357         mittel
98     7.069967    56.189127  ...  64.082752       schlecht
99    21.591779    76.209784  ...  67.735886            gut
